UUID,Fully specified name:en,Data class,Data type,Answers,Members
4044b850-32da-4689-bb59-107fdacfb470,Action taken,Misc,N/A,,
42d2029b-4cd8-4cc0-98da-1d631da10dcf,Any abnormalities?,Misc,N/A,,
f96a327a-4d14-465e-bd4c-f0e71780843b,Apgar Score at 10 minute,Finding,Numeric,,
3cd4e004-26fe-102b-80cb-0017a47871b2,BACILLE CAMILE-GUERIN VACCINATION,Drug,N/A,,
e8d41002-5304-4ba0-9931-cf65d93dbcbc,Blood clotting disorder,Misc,N/A,,
3cd4860e-26fe-102b-80cb-0017a47871b2,BREASTFEEDING,Misc,N/A,نہیں;نہیں,
cb65455f-5082-46cd-aa9f-2b0212dafe6f,Carbetocin,Drug,N/A,,
6602a73b-b8d3-40bc-bae8-f00ff3b9cceb,Clinican notes,Misc,N/A,,
dc758597-fddf-47aa-baa7-40de8038371c,CONGENITAL MALFORMATION,Diagnosis,Text,,
9f1f6af0-51e6-4c04-8673-81ae61fa812e,Continue at home?,Misc,N/A,,
cdf67c09-aa3b-4b7e-b06f-268b5b7b581c,Counselled on (Baby),Misc,N/A,"Supine sleeping;Follow-up visits;Whole body massage;Danger signs, emergency preparedness;Hand washing  general hygiene and cord care;Prevention of hypo- and hyperthermia;Exclusive, responsive breastfeeding",
487771af-dbbf-476a-a176-190179de2a45,Counselled on (Woman),Misc,N/A,"Resumption of sexual activity, safer sex;Rest, help with care in the home;Return to fertility, birth spacing and PPFP;Lochia and involution;Postpartum care and hygiene;Follow-up visits;NUTRITION;Danger signs, emergency preparedness",
cf9cff6f-cd2d-48e7-9935-7534289aff82,"Danger signs, emergency preparedness",Misc,N/A,,
e484492a-4c62-4410-a062-dbbf6d1895c5,Date de  réception du résultat du test de Syphilis,Question,Date,,
3cd653c6-26fe-102b-80cb-0017a47871b2,DATE OF LAST MENSTRUAL PERIOD,Misc,Date,,
092e2163-e657-4961-b554-96ce2c21d051,DATE RESULT OF HIV TEST RECEIVED,Misc,N/A,,
7bdbe689-0646-4c3c-a473-a30bf8521605,Death within 24hr,Misc,N/A,,
